source,target,value
Bezirksamt Spandau,"Landesamt für Bergbau, Geologie und Rohstoffe",0
Berliner Bäderbetriebe,Kammer für Psychologische Psychotherapeuten und Kinder- und Jugendlichenpsychotherapeuten,0
Kassenzahnärztliche Vereinigung Berlin,Bezirksamt Mitte,0
Ärztekammer Berlin,Unfallkasse Berlin,0
Amtsgericht Spandau,Handwerksinnungen,0
"Senatsverwaltung für Wirtschaft, Energie und Betriebe",Jugendstrafanstalt Berlin,0
Bezirksamt Reinickendorf,Abgeordnetenhaus von Berlin,0
Landesverwaltungsamt,"Senatsverwaltung für Justiz, Vielfalt und Antidiskriminierung",0
Investitionsbank Berlin,Stiftung Bröhan-Museum,18
Finanzamt Friedrichshain-Kreuzberg,"Senatsverwaltung für Justiz, Vielfalt und Antidiskriminierung",0
Verwaltungsgericht Berlin,Stiftung Preußischer Kulturbesitz,0
Senatsverwaltung für Finanzen,Technische Universität Berlin,0
Maxim Gorki Theater,Kassenzahnärztliche Vereinigung Berlin,0
Stiftung Preußischer Kulturbesitz,Finanzamt Marzahn-Hellersdorf,0
Jugendstrafanstalt Berlin,Polizei Berlin,0
Finanzamt Lichtenberg,Bezirksamt Spandau,0
Bezirksamt Pankow,"Landesamt für Bergbau, Geologie und Rohstoffe",0
Abgeordnetenhaus von Berlin,Landesfinanzservice (inkl. Landeshauptkasse),0
Finanzamt für Körperschaften II,Abgeordnetenhaus von Berlin,72
Bezirksamt Mitte,Bezirksamt Pankow,0
Stiftung Bröhan-Museum,Jugendstrafanstalt Berlin,0
Landesfinanzservice (inkl. Landeshauptkasse),Bezirksamt Mitte,0
Amtsanwaltschaft Berlin,Berliner Wasserbetriebe (BWB),0
"Senatsverwaltung für Stadtentwicklung, Bauen und Wohnen",Justizvollzugsanstalt für Frauen Berlin,0
Handwerksinnungen,Investitionsbank Berlin,0
Verfassungsgerichtshof des Landes Berlin,"Senatsverwaltung für Stadtentwicklung, Bauen und Wohnen",0
Kammer für Psychologische Psychotherapeuten und Kinder- und Jugendlichenpsychotherapeuten,Bezirksamt Spandau,0
Pflanzenschutzamt Berlin,Finanzamt Lichtenberg,0
Technische Universität Berlin,Landesinstitut für gerichtliche und soziale Medizin Berlin (GerMed),0
Verkehrslenkung Berlin,Finanzamt Charlottenburg,0
Unfallkasse Berlin,Investitionsbank Berlin,0
Finanzamt Charlottenburg,Verwaltungsgericht Berlin,0
Landesinstitut für gerichtliche und soziale Medizin Berlin (GerMed),Finanzamt Friedrichshain-Kreuzberg,0
Wiedergutmachungsämter von Berlin,Justizvollzugsanstalt für Frauen Berlin,0
Stiftung Stadtmuseum Berlin,Pflanzenschutzamt Berlin,0
Finanzamt Reinickendorf,Polizei Berlin,0
Justizvollzugsanstalt für Frauen Berlin,Finanzamt Marzahn-Hellersdorf,0
"Landesamt für Bergbau, Geologie und Rohstoffe",Maxim Gorki Theater,108
Steuerberaterkammer Berlin,Finanzamt für Körperschaften II,0
Finanzamt Marzahn-Hellersdorf,Bezirksamt Pankow,0
"Senatsverwaltung für Justiz, Vielfalt und Antidiskriminierung",Bezirksamt Reinickendorf,0
Senatsverwaltung für Kultur und Europa,Ärztekammer Berlin,0
Stiftung Preußische Schlösser und Gärten Berlin-Brandenburg,Finanzamt Friedrichshain-Kreuzberg,0
Pestalozzi-Fröbel-Haus,Finanzamt für Körperschaften II,0
Amtsgericht Lichtenberg,"Senatsverwaltung für Justiz, Vielfalt und Antidiskriminierung",0
Deutsche Klassenlotterie Berlin,Stiftung Stadtmuseum Berlin,0
Landesarbeitsgericht Berlin-Brandenburg,"Senatsverwaltung für Stadtentwicklung, Bauen und Wohnen",0
Berliner Wasserbetriebe (BWB),Amtsgericht Spandau,0
Wohnraumversorgung Berlin,"Senatsverwaltung für Justiz, Vielfalt und Antidiskriminierung",0
Polizei Berlin,Landesfinanzservice (inkl. Landeshauptkasse),0
Bezirksamt Spandau,Bezirksamt Mitte,0
Berliner Bäderbetriebe,Ärztekammer Berlin,0
Kassenzahnärztliche Vereinigung Berlin,Pestalozzi-Fröbel-Haus,0
Ärztekammer Berlin,Berliner Wasserbetriebe (BWB),0
Amtsgericht Spandau,Maxim Gorki Theater,0
"Senatsverwaltung für Wirtschaft, Energie und Betriebe",Finanzamt Marzahn-Hellersdorf,0
Bezirksamt Reinickendorf,Bezirksamt Spandau,0
Landesverwaltungsamt,Verkehrslenkung Berlin,0
Investitionsbank Berlin,Justizvollzugsanstalt für Frauen Berlin,0
Finanzamt Friedrichshain-Kreuzberg,Ärztekammer Berlin,0
Verwaltungsgericht Berlin,Justizvollzugsanstalt für Frauen Berlin,0
Senatsverwaltung für Finanzen,Landesinstitut für gerichtliche und soziale Medizin Berlin (GerMed),0
Maxim Gorki Theater,Finanzamt für Körperschaften II,0
Stiftung Preußischer Kulturbesitz,Finanzamt Friedrichshain-Kreuzberg,0
Jugendstrafanstalt Berlin,Kassenzahnärztliche Vereinigung Berlin,0
Finanzamt Lichtenberg,Kassenzahnärztliche Vereinigung Berlin,0
Bezirksamt Pankow,Finanzamt Lichtenberg,0
Abgeordnetenhaus von Berlin,Wohnraumversorgung Berlin,0
Finanzamt für Körperschaften II,Senatsverwaltung für Kultur und Europa,0
Bezirksamt Mitte,"Senatsverwaltung für Justiz, Vielfalt und Antidiskriminierung",0
Stiftung Bröhan-Museum,"Senatsverwaltung für Wirtschaft, Energie und Betriebe",0
Landesfinanzservice (inkl. Landeshauptkasse),Wiedergutmachungsämter von Berlin,0
Amtsanwaltschaft Berlin,Berliner Bäderbetriebe,0
"Senatsverwaltung für Stadtentwicklung, Bauen und Wohnen",Finanzamt Reinickendorf,0
Handwerksinnungen,Landesarbeitsgericht Berlin-Brandenburg,0
Verfassungsgerichtshof des Landes Berlin,Bezirksamt Spandau,0
Kammer für Psychologische Psychotherapeuten und Kinder- und Jugendlichenpsychotherapeuten,Amtsgericht Spandau,0
Pflanzenschutzamt Berlin,Maxim Gorki Theater,0
Technische Universität Berlin,"Senatsverwaltung für Justiz, Vielfalt und Antidiskriminierung",162
Verkehrslenkung Berlin,Ärztekammer Berlin,126
Unfallkasse Berlin,Bezirksamt Pankow,0
Finanzamt Charlottenburg,Berliner Wasserbetriebe (BWB),108
Landesinstitut für gerichtliche und soziale Medizin Berlin (GerMed),Investitionsbank Berlin,0
Wiedergutmachungsämter von Berlin,Justizvollzugsanstalt für Frauen Berlin,0
Stiftung Stadtmuseum Berlin,"Senatsverwaltung für Wirtschaft, Energie und Betriebe",0
Finanzamt Reinickendorf,Landesfinanzservice (inkl. Landeshauptkasse),0
Justizvollzugsanstalt für Frauen Berlin,Berliner Wasserbetriebe (BWB),0
"Landesamt für Bergbau, Geologie und Rohstoffe",Landesarbeitsgericht Berlin-Brandenburg,0
Steuerberaterkammer Berlin,Bezirksamt Pankow,0
Finanzamt Marzahn-Hellersdorf,Kassenzahnärztliche Vereinigung Berlin,0
"Senatsverwaltung für Justiz, Vielfalt und Antidiskriminierung",Wohnraumversorgung Berlin,0
Senatsverwaltung für Kultur und Europa,Berliner Bäderbetriebe,0
Stiftung Preußische Schlösser und Gärten Berlin-Brandenburg,Wiedergutmachungsämter von Berlin,0
Pestalozzi-Fröbel-Haus,Amtsgericht Lichtenberg,0
Amtsgericht Lichtenberg,Senatsverwaltung für Kultur und Europa,198
Deutsche Klassenlotterie Berlin,Pestalozzi-Fröbel-Haus,0
Landesarbeitsgericht Berlin-Brandenburg,Senatsverwaltung für Kultur und Europa,0
Berliner Wasserbetriebe (BWB),Stiftung Preußische Schlösser und Gärten Berlin-Brandenburg,0
Wohnraumversorgung Berlin,Maxim Gorki Theater,0
Polizei Berlin,"Senatsverwaltung für Justiz, Vielfalt und Antidiskriminierung",0
Bezirksamt Spandau,Senatsverwaltung für Kultur und Europa,0
Berliner Bäderbetriebe,Landesfinanzservice (inkl. Landeshauptkasse),0
Kassenzahnärztliche Vereinigung Berlin,Bezirksamt Pankow,0
Ärztekammer Berlin,Landesfinanzservice (inkl. Landeshauptkasse),0
Amtsgericht Spandau,Amtsgericht Lichtenberg,0
"Senatsverwaltung für Wirtschaft, Energie und Betriebe",Senatsverwaltung für Finanzen,0
Bezirksamt Reinickendorf,Wohnraumversorgung Berlin,0
Landesverwaltungsamt,Bezirksamt Mitte,18
Investitionsbank Berlin,Amtsgericht Lichtenberg,0
Finanzamt Friedrichshain-Kreuzberg,Landesfinanzservice (inkl. Landeshauptkasse),0
Verwaltungsgericht Berlin,Stiftung Bröhan-Museum,0
Senatsverwaltung für Finanzen,Finanzamt Reinickendorf,0
Maxim Gorki Theater,Maxim Gorki Theater,0
Stiftung Preußischer Kulturbesitz,Maxim Gorki Theater,0
Jugendstrafanstalt Berlin,Abgeordnetenhaus von Berlin,0
Finanzamt Lichtenberg,Technische Universität Berlin,0
Bezirksamt Pankow,Bezirksamt Mitte,0
Abgeordnetenhaus von Berlin,Pestalozzi-Fröbel-Haus,0
Finanzamt für Körperschaften II,Amtsgericht Lichtenberg,0
Bezirksamt Mitte,Finanzamt Lichtenberg,0
Stiftung Bröhan-Museum,"Senatsverwaltung für Justiz, Vielfalt und Antidiskriminierung",0
Landesfinanzservice (inkl. Landeshauptkasse),Finanzamt Reinickendorf,0
Amtsanwaltschaft Berlin,Verkehrslenkung Berlin,0
"Senatsverwaltung für Stadtentwicklung, Bauen und Wohnen",Amtsgericht Lichtenberg,0
Handwerksinnungen,Justizvollzugsanstalt für Frauen Berlin,0
Verfassungsgerichtshof des Landes Berlin,Amtsanwaltschaft Berlin,0
Kammer für Psychologische Psychotherapeuten und Kinder- und Jugendlichenpsychotherapeuten,Finanzamt Marzahn-Hellersdorf,0
Pflanzenschutzamt Berlin,Verfassungsgerichtshof des Landes Berlin,0
Technische Universität Berlin,Landesinstitut für gerichtliche und soziale Medizin Berlin (GerMed),0
Verkehrslenkung Berlin,"Senatsverwaltung für Justiz, Vielfalt und Antidiskriminierung",0
Unfallkasse Berlin,Berliner Wasserbetriebe (BWB),180
Finanzamt Charlottenburg,Landesinstitut für gerichtliche und soziale Medizin Berlin (GerMed),162
Landesinstitut für gerichtliche und soziale Medizin Berlin (GerMed),Pestalozzi-Fröbel-Haus,0
Wiedergutmachungsämter von Berlin,Berliner Bäderbetriebe,0
Stiftung Stadtmuseum Berlin,Finanzamt Charlottenburg,0
Finanzamt Reinickendorf,Finanzamt Friedrichshain-Kreuzberg,0
Justizvollzugsanstalt für Frauen Berlin,Handwerksinnungen,0
"Landesamt für Bergbau, Geologie und Rohstoffe",Finanzamt Reinickendorf,0
Steuerberaterkammer Berlin,Amtsgericht Lichtenberg,0
Finanzamt Marzahn-Hellersdorf,"Landesamt für Bergbau, Geologie und Rohstoffe",0
"Senatsverwaltung für Justiz, Vielfalt und Antidiskriminierung",Berliner Wasserbetriebe (BWB),0
Senatsverwaltung für Kultur und Europa,Finanzamt Lichtenberg,0
Stiftung Preußische Schlösser und Gärten Berlin-Brandenburg,Wohnraumversorgung Berlin,0
Pestalozzi-Fröbel-Haus,"Senatsverwaltung für Justiz, Vielfalt und Antidiskriminierung",0
Amtsgericht Lichtenberg,Bezirksamt Spandau,0
Deutsche Klassenlotterie Berlin,Stiftung Bröhan-Museum,0
Landesarbeitsgericht Berlin-Brandenburg,Berliner Wasserbetriebe (BWB),144
Berliner Wasserbetriebe (BWB),Verfassungsgerichtshof des Landes Berlin,0
Wohnraumversorgung Berlin,Senatsverwaltung für Kultur und Europa,0
Polizei Berlin,"Senatsverwaltung für Justiz, Vielfalt und Antidiskriminierung",0
Bezirksamt Spandau,Jugendstrafanstalt Berlin,0
Berliner Bäderbetriebe,Unfallkasse Berlin,0
Kassenzahnärztliche Vereinigung Berlin,Kassenzahnärztliche Vereinigung Berlin,0
Ärztekammer Berlin,Ärztekammer Berlin,0
Amtsgericht Spandau,Amtsgericht Lichtenberg,0
"Senatsverwaltung für Wirtschaft, Energie und Betriebe",Landesinstitut für gerichtliche und soziale Medizin Berlin (GerMed),144
Bezirksamt Reinickendorf,Verfassungsgerichtshof des Landes Berlin,0
Landesverwaltungsamt,Steuerberaterkammer Berlin,0
Investitionsbank Berlin,Maxim Gorki Theater,72
Finanzamt Friedrichshain-Kreuzberg,Unfallkasse Berlin,0
Verwaltungsgericht Berlin,Verfassungsgerichtshof des Landes Berlin,0
Senatsverwaltung für Finanzen,Wiedergutmachungsämter von Berlin,0
Maxim Gorki Theater,Deutsche Klassenlotterie Berlin,0
Stiftung Preußischer Kulturbesitz,Justizvollzugsanstalt für Frauen Berlin,0
Jugendstrafanstalt Berlin,Amtsanwaltschaft Berlin,0
Finanzamt Lichtenberg,Senatsverwaltung für Kultur und Europa,0
Bezirksamt Pankow,Justizvollzugsanstalt für Frauen Berlin,198
Abgeordnetenhaus von Berlin,Unfallkasse Berlin,0
Finanzamt für Körperschaften II,Maxim Gorki Theater,0
Bezirksamt Mitte,Berliner Bäderbetriebe,0
Stiftung Bröhan-Museum,Jugendstrafanstalt Berlin,0
Landesfinanzservice (inkl. Landeshauptkasse),Stiftung Bröhan-Museum,0
Amtsanwaltschaft Berlin,Justizvollzugsanstalt für Frauen Berlin,0
"Senatsverwaltung für Stadtentwicklung, Bauen und Wohnen","Senatsverwaltung für Justiz, Vielfalt und Antidiskriminierung",0
Handwerksinnungen,Stiftung Bröhan-Museum,0
Verfassungsgerichtshof des Landes Berlin,"Senatsverwaltung für Justiz, Vielfalt und Antidiskriminierung",0
Kammer für Psychologische Psychotherapeuten und Kinder- und Jugendlichenpsychotherapeuten,Bezirksamt Pankow,0
Pflanzenschutzamt Berlin,Bezirksamt Mitte,0
Technische Universität Berlin,Berliner Bäderbetriebe,0
Verkehrslenkung Berlin,Berliner Wasserbetriebe (BWB),0
Unfallkasse Berlin,Finanzamt Reinickendorf,0
Finanzamt Charlottenburg,Senatsverwaltung für Kultur und Europa,0
Landesinstitut für gerichtliche und soziale Medizin Berlin (GerMed),Steuerberaterkammer Berlin,72
Wiedergutmachungsämter von Berlin,"Senatsverwaltung für Justiz, Vielfalt und Antidiskriminierung",0
Stiftung Stadtmuseum Berlin,Bezirksamt Spandau,0
Finanzamt Reinickendorf,Finanzamt Friedrichshain-Kreuzberg,0
Justizvollzugsanstalt für Frauen Berlin,Wiedergutmachungsämter von Berlin,54
"Landesamt für Bergbau, Geologie und Rohstoffe",Stiftung Preußischer Kulturbesitz,0
Steuerberaterkammer Berlin,Landesinstitut für gerichtliche und soziale Medizin Berlin (GerMed),0
Finanzamt Marzahn-Hellersdorf,Bezirksamt Spandau,0
"Senatsverwaltung für Justiz, Vielfalt und Antidiskriminierung",Abgeordnetenhaus von Berlin,0
Senatsverwaltung für Kultur und Europa,Technische Universität Berlin,0
Stiftung Preußische Schlösser und Gärten Berlin-Brandenburg,Finanzamt Reinickendorf,0
Pestalozzi-Fröbel-Haus,Abgeordnetenhaus von Berlin,0
Amtsgericht Lichtenberg,Landesinstitut für gerichtliche und soziale Medizin Berlin (GerMed),90
Deutsche Klassenlotterie Berlin,Stiftung Stadtmuseum Berlin,0
Landesarbeitsgericht Berlin-Brandenburg,Stiftung Preußischer Kulturbesitz,0
Berliner Wasserbetriebe (BWB),Kassenzahnärztliche Vereinigung Berlin,0
Wohnraumversorgung Berlin,Landesinstitut für gerichtliche und soziale Medizin Berlin (GerMed),0
Polizei Berlin,Finanzamt Charlottenburg,0
Bezirksamt Spandau,"Senatsverwaltung für Stadtentwicklung, Bauen und Wohnen",0
Berliner Bäderbetriebe,Bezirksamt Reinickendorf,0
Kassenzahnärztliche Vereinigung Berlin,"Senatsverwaltung für Stadtentwicklung, Bauen und Wohnen",0
Ärztekammer Berlin,Amtsanwaltschaft Berlin,0
Amtsgericht Spandau,Stiftung Preußischer Kulturbesitz,0
"Senatsverwaltung für Wirtschaft, Energie und Betriebe",Jugendstrafanstalt Berlin,0
Bezirksamt Reinickendorf,Landesarbeitsgericht Berlin-Brandenburg,0
Landesverwaltungsamt,Steuerberaterkammer Berlin,0
Investitionsbank Berlin,Justizvollzugsanstalt für Frauen Berlin,0
Finanzamt Friedrichshain-Kreuzberg,Unfallkasse Berlin,0
Verwaltungsgericht Berlin,Berliner Bäderbetriebe,0
Senatsverwaltung für Finanzen,Berliner Wasserbetriebe (BWB),0
Maxim Gorki Theater,Investitionsbank Berlin,0
Stiftung Preußischer Kulturbesitz,Technische Universität Berlin,54
Jugendstrafanstalt Berlin,Kassenzahnärztliche Vereinigung Berlin,18
Finanzamt Lichtenberg,Stiftung Preußische Schlösser und Gärten Berlin-Brandenburg,0
Bezirksamt Pankow,Amtsgericht Lichtenberg,0
Abgeordnetenhaus von Berlin,Finanzamt für Körperschaften II,0
Finanzamt für Körperschaften II,Finanzamt Lichtenberg,0
Bezirksamt Mitte,Stiftung Bröhan-Museum,0
Stiftung Bröhan-Museum,Investitionsbank Berlin,0
Landesfinanzservice (inkl. Landeshauptkasse),Finanzamt für Körperschaften II,0
Amtsanwaltschaft Berlin,Bezirksamt Reinickendorf,0
"Senatsverwaltung für Stadtentwicklung, Bauen und Wohnen",Landesverwaltungsamt,0
Handwerksinnungen,Polizei Berlin,0
Verfassungsgerichtshof des Landes Berlin,Stiftung Preußischer Kulturbesitz,144
